transaction_id,sale_date,product_id,units_sold,store_region,total_revenue
TXN-SALE-00000-101,2024-06-27,101,11,West,13200.0
TXN-SALE-00000-102,2024-06-27,102,19,East,855.0
TXN-SALE-00000-103,2024-06-27,103,12,North,3000.0
TXN-SALE-00000-104,2024-06-27,104,11,South,715.0
TXN-SALE-00001-101,2024-06-28,101,23,East,27600.0
TXN-SALE-00001-102,2024-06-28,102,15,East,675.0
TXN-SALE-00001-103,2024-06-28,103,8,West,2000.0
TXN-SALE-00001-104,2024-06-28,104,7,South,455.0
TXN-SALE-00002-101,2024-06-29,101,7,West,8400.0
TXN-SALE-00002-102,2024-06-29,102,20,South,900.0
TXN-SALE-00002-103,2024-06-29,103,13,South,3250.0
TXN-SALE-00002-104,2024-06-29,104,6,West,390.0
TXN-SALE-00003-101,2024-06-30,101,20,North,24000.0
TXN-SALE-00003-102,2024-06-30,102,27,East,1215.0
TXN-SALE-00003-103,2024-06-30,103,18,West,4500.0
TXN-SALE-00003-104,2024-06-30,104,26,East,1690.0
TXN-SALE-00004-101,2024-07-01,101,19,South,22800.0
TXN-SALE-00004-102,2024-07-01,102,23,West,1035.0
TXN-SALE-00004-103,2024-07-01,103,24,West,6000.0
TXN-SALE-00004-104,2024-07-01,104,7,North,455.0
TXN-SALE-00005-101,2024-07-02,101,23,East,27600.0
TXN-SALE-00005-102,2024-07-02,102,13,East,585.0
TXN-SALE-00005-103,2024-07-02,103,22,West,5500.0
TXN-SALE-00005-104,2024-07-02,104,18,South,1170.0
TXN-SALE-00006-101,2024-07-03,101,13,South,15600.0
TXN-SALE-00006-102,2024-07-03,102,6,West,270.0
TXN-SALE-00006-103,2024-07-03,103,19,West,4750.0
TXN-SALE-00006-104,2024-07-03,104,11,West,715.0
TXN-SALE-00007-101,2024-07-04,101,12,East,14400.0
TXN-SALE-00007-102,2024-07-04,102,7,South,315.0
TXN-SALE-00007-103,2024-07-04,103,21,West,5250.0
TXN-SALE-00007-104,2024-07-04,104,22,West,1430.0
TXN-SALE-00008-101,2024-07-05,101,8,South,9600.0
TXN-SALE-00008-102,2024-07-05,102,10,South,450.0
TXN-SALE-00008-103,2024-07-05,103,14,West,3500.0
TXN-SALE-00008-104,2024-07-05,104,22,South,1430.0
TXN-SALE-00009-101,2024-07-06,101,20,South,24000.0
TXN-SALE-00009-102,2024-07-06,102,18,South,810.0
TXN-SALE-00009-103,2024-07-06,103,10,South,2500.0
TXN-SALE-00009-104,2024-07-06,104,26,East,1690.0
TXN-SALE-00010-101,2024-07-07,101,15,South,18000.0
TXN-SALE-00010-102,2024-07-07,102,15,North,675.0
TXN-SALE-00010-103,2024-07-07,103,26,North,6500.0
TXN-SALE-00010-104,2024-07-07,104,28,East,1820.0
TXN-SALE-00011-101,2024-07-08,101,17,North,20400.0
TXN-SALE-00011-102,2024-07-08,102,19,North,855.0
TXN-SALE-00011-103,2024-07-08,103,5,North,1250.0
TXN-SALE-00011-104,2024-07-08,104,11,North,715.0
TXN-SALE-00012-101,2024-07-09,101,5,West,6000.0
TXN-SALE-00012-102,2024-07-09,102,12,West,540.0
TXN-SALE-00012-103,2024-07-09,103,15,East,3750.0
TXN-SALE-00012-104,2024-07-09,104,21,West,1365.0
TXN-SALE-00013-101,2024-07-10,101,7,East,8400.0
TXN-SALE-00013-102,2024-07-10,102,5,East,225.0
TXN-SALE-00013-103,2024-07-10,103,9,South,2250.0
TXN-SALE-00013-104,2024-07-10,104,11,South,715.0
TXN-SALE-00014-101,2024-07-11,101,13,West,15600.0
TXN-SALE-00014-102,2024-07-11,102,11,North,495.0
TXN-SALE-00014-103,2024-07-11,103,12,West,3000.0
TXN-SALE-00014-104,2024-07-11,104,6,North,390.0
TXN-SALE-00015-101,2024-07-12,101,20,East,24000.0
TXN-SALE-00015-102,2024-07-12,102,9,East,405.0
TXN-SALE-00015-103,2024-07-12,103,16,West,4000.0
TXN-SALE-00015-104,2024-07-12,104,7,North,455.0
TXN-SALE-00016-101,2024-07-13,101,9,North,10800.0
TXN-SALE-00016-102,2024-07-13,102,25,South,1125.0
TXN-SALE-00016-103,2024-07-13,103,9,North,2250.0
TXN-SALE-00016-104,2024-07-13,104,11,South,715.0
TXN-SALE-00017-101,2024-07-14,101,23,East,27600.0
TXN-SALE-00017-102,2024-07-14,102,17,East,765.0
TXN-SALE-00017-103,2024-07-14,103,25,South,6250.0
TXN-SALE-00017-104,2024-07-14,104,18,West,1170.0
TXN-SALE-00018-101,2024-07-15,101,17,East,20400.0
TXN-SALE-00018-102,2024-07-15,102,11,North,495.0
TXN-SALE-00018-103,2024-07-15,103,24,North,6000.0
TXN-SALE-00018-104,2024-07-15,104,8,South,520.0
TXN-SALE-00019-101,2024-07-16,101,9,East,10800.0
TXN-SALE-00019-102,2024-07-16,102,11,North,495.0
TXN-SALE-00019-103,2024-07-16,103,19,East,4750.0
TXN-SALE-00019-104,2024-07-16,104,8,North,520.0
